Antibiotic ,Antibiotic_Class,WGS-predicted phenotype,WGS-predicted genotype,MIC_range
gentamicin,aminoglycoside,No resistance,,
tobramycin,aminoglycoside,No resistance,,
streptomycin,aminoglycoside,No resistance,,
amikacin,aminoglycoside,No resistance,,
isepamicin,aminoglycoside,No resistance,,
dibekacin,aminoglycoside,No resistance,,
kanamycin,aminoglycoside,No resistance,,
neomycin,aminoglycoside,No resistance,,
lividomycin,aminoglycoside,No resistance,,
paromomycin,aminoglycoside,No resistance,,
ribostamycin,aminoglycoside,No resistance,,
unknown aminoglycoside,aminoglycoside,No resistance,,
butiromycin,aminoglycoside,No resistance,,
butirosin,aminoglycoside,No resistance,,
hygromycin,aminoglycoside,No resistance,,
netilmicin,aminoglycoside,No resistance,,
apramycin,aminoglycoside,No resistance,,
sisomicin,aminoglycoside,No resistance,,
arbekacin,aminoglycoside,No resistance,,
kasugamycin,aminoglycoside,No resistance,,
astromicin,aminoglycoside,No resistance,,
fortimicin,aminoglycoside,No resistance,,
spectinomycin,aminocyclitol,No resistance,,
fluoroquinolone,quinolone,No resistance,,
ciprofloxacin,quinolone,No resistance,,
unknown quinolone,quinolone,No resistance,,
nalidixic acid,quinolone,No resistance,,
amoxicillin,beta-lactam,No resistance,,
amoxicillin+clavulanic acid,beta-lactam,No resistance,,
ampicillin,beta-lactam,No resistance,,
ampicillin+clavulanic acid,beta-lactam,No resistance,,
cefepime,beta-lactam,No resistance,,
cefixime,beta-lactam,No resistance,,
cefotaxime,beta-lactam,No resistance,,
cefoxitin,beta-lactam,No resistance,,
ceftazidime,beta-lactam,No resistance,,
ertapenem,beta-lactam,No resistance,,
imipenem,beta-lactam,No resistance,,
meropenem,beta-lactam,No resistance,,
piperacillin,beta-lactam,No resistance,,
piperacillin+tazobactam,beta-lactam,No resistance,,
unknown beta-lactam,beta-lactam,No resistance,,
aztreonam,beta-lactam,No resistance,,
cefotaxime+clavulanic acid,beta-lactam,No resistance,,
temocillin,beta-lactam,No resistance,,
ticarcillin,beta-lactam,No resistance,,
ceftazidime+avibactam,beta-lactam,No resistance,,
penicillin,beta-lactam,No resistance,,
ceftriaxone,beta-lactam,No resistance,,
ticarcillin+clavulanic acid,beta-lactam,No resistance,,
cephalothin,beta-lactam,No resistance,,
cephalotin,beta-lactam,No resistance,,
piperacillin+clavulanic acid,beta-lactam,No resistance,,
sulfamethoxazole,folate pathway,No resistance,,
trimethoprim,folate pathway,No resistance,,
fosfomycin,fosfomycin,No resistance,,
vancomycin,glycopeptide,No resistance,,
teicoplanin,glycopeptide,No resistance,,
bleomycin,glycopeptide,No resistance,,
lincomycin,lincosamide,No resistance,,
clindamycin,lincosamide,No resistance,,
dalfopristin,streptogramin a,No resistance,,
pristinamycin iia,streptogramin a,No resistance,,
virginiamycin m,streptogramin a,No resistance,,
quinupristin+dalfopristin,streptogramin a,No resistance,,
tiamulin,pleuromutilin,No resistance,,
carbomycin,macrolide,No resistance,,
erythromycin,macrolide,No resistance,,
azithromycin,macrolide,No resistance,,
oleandomycin,macrolide,No resistance,,
spiramycin,macrolide,No resistance,,
tylosin,macrolide,No resistance,,
telithromycin,macrolide,No resistance,,
tetracycline,tetracycline,No resistance,,
doxycycline,tetracycline,No resistance,,
minocycline,tetracycline,No resistance,,
tigecycline,tetracycline,No resistance,,
quinupristin,streptogramin b,No resistance,,
pristinamycin ia,streptogramin b,No resistance,,
virginiamycin s,streptogramin b,No resistance,,
linezolid,oxazolidinone,No resistance,,
chloramphenicol,amphenicol,No resistance,,
florfenicol,amphenicol,No resistance,,
colistin,polymyxin,No resistance,,
fusidic acid,steroid antibacterial,No resistance,,
mupirocin,pseudomonic acid,No resistance,,
rifampicin,rifamycin,No resistance,,
metronidazole,nitroimidazole,No resistance,,
narasin,ionophores,No resistance,,
salinomycin,ionophores,No resistance,,
maduramicin,ionophores,No resistance,,
